star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 107625,HIP 107625,HD 207144,GJ 9754,1,0,0,0,0,21h47m59.96s,326.999847,-40d15m18.8s,-40.255224,23.7,0.48,-0.46,8.6,0.03,0.96,0,K3V,0.24,0.08,4868,,0.69,,,,,,,,
HIP 107649,HIP 107649,HD 207129,GJ 838,1,0,1,0,0,21h48m15.61s,327.065037,-47d18m10.4s,-47.302898,15.99,0.16,-0.16,5.57,0.02,0.6,0,G0V,1.35,0.06,5889,,1.02,,4.41,,5.16,,-0.03,,[Fe/H]
HIP 107705 A,HIP 107705 A,,GJ 1264,1,0,0,0,0,21h49m05.27s,327.271962,-72d06m06.4s,-72.101784,16.32,0.5,-0.48,9.62,0.01,1.45,0.01,M2Ve,0.11,0.11,3562,,0.57,,,,,,,,
HIP 107711,HIP 107711,,GJ 4224 A,1,0,0,0,0,21h49m11.13s,327.296375,-41d33m28.3s,-41.55787,20.45,28.24,-7.51,11.51,0.01,1.62,0.01,M6,0.05,1.88,3413,,0.47,,,,,,,,
HIP 107772,HIP 107772,,,1,0,0,0,0,21h49m59.98s,327.499898,-41d14m44.2s,-41.245604,23.2,1.22,-1.1,10.54,0.01,1.39,0.01,M0,0.07,0.2,4108,,0.5,,,,,,,,
HIP 107920 A,HIP 107920 A,HD 207966,GJ 838.3 A,1,0,0,0,0,21h51m53.07s,327.97112,+42d20m40.6s,42.344621,29.33,0.6,-0.58,7.84,0.02,0.78,0.02,G5,0.62,0.12,5347,,0.89,,,,,,,,
HIP 107968,HIP 107968,,GJ 838.4,1,0,0,0,0,21h52m25.37s,328.105708,+02d23m22.2s,2.389502,26.66,3.64,-2.86,12.74,0.01,-0.01,0.02,DA:,0.03,0.29,9646,,0.42,,,,,,,,
HIP 107975,HIP 107975,HD 207978,GJ 4234,1,0,0,0,0,21h52m29.96s,328.124817,+28d47m37.3s,28.793692,27.45,0.28,-0.27,5.52,0.02,0.42,0.02,F6IVwvar,3.99,0.06,6326,,1.43,,,,,,,,
HIP 108020,HIP 108020,,,1,0,0,0,0,21h53m02.58s,328.260757,-64d13m02.5s,-64.217362,28.43,1.18,-1.09,9.84,0.01,1.18,0.02,K7,0.16,0.11,4345,,0.62,,,,,,,,
HIP 108028,HIP 108028,HD 208038,,1,0,0,0,0,21h53m05.36s,328.272319,+20d55m50.8s,20.930765,23.04,0.47,-0.45,8.15,0.01,0.93,0.01,K0,0.31,0.06,4985,,0.74,,,,,,,,
HIP 108036,HIP 108036,HD 207958,GJ 838.5,1,0,0,0,0,21h53m17.58s,328.323266,-13d33m06.5s,-13.551801,26.62,0.54,-0.52,5.08,0.02,0.38,0.01,F3IV,5.5,0.06,6799,,1.55,,4.09,,,,,,
HIP 108092,HIP 108092,,GJ 839,1,0,0,0,0,21h53m58.70s,328.494587,+41d46m47.6s,41.779897,23.22,0.97,-0.89,10.23,0.11,1.33,0.01,M2,0.09,0.22,4029,,0.54,,,,,,,,
HIP 108156,HIP 108156,HD 208313,GJ 840,1,0,0,0,0,21h54m44.89s,328.687061,+32d19m44.9s,32.329137,19.96,0.41,-0.39,7.71,0.02,0.91,0.01,K0,0.35,0.06,5033,,0.79,,4.57,,10.4,,-0.04,,[Fe/H]
HIP 108159,HIP 108159,,GJ 838.6,1,0,0,0,0,21h54m45.58s,328.689929,-46d59m30.6s,-46.991846,14.63,0.93,-0.83,11.99,0,1.56,0.01,M3,0.01,0.16,3510,,0.34,,,,,,,,
HIP 108162 A,HIP 108162 A,HD 207496,GJ 4229 A,1,0,0,0,0,21h54m50.70s,328.711251,-77d20m15.2s,-77.337542,27.35,0.56,-0.54,8.23,0.01,1,0.02,K3/4V,0.43,0.07,4958,,0.8,,,,,,,,
HIP 108380,HIP 108380,,GJ 4241,1,0,0,0,0,21h57m26.01s,329.358391,+08d08m13.0s,8.136958,20.49,0.85,-0.79,11.03,0.01,1.46,0.01,M1V:,0.06,0.14,3624,,0.48,,,,,,,,
HIP 108405,HIP 108405,,GJ 841 A,1,0,0,0,0,21h57m41.24s,329.421816,-51d00m18.9s,-51.005255,15.97,0.84,-0.76,10.49,0.01,1.52,0.01,M0,0.08,0.15,3480,,0.53,,,,,,,,
HIP 108456,HIP 108456,HD 209942,,1,0,0,0,0,21h58m13.53s,329.556381,+82d52m10.8s,82.869666,29.9,2.6,-2.21,6.94,0.02,0.52,0.01,F6IV-V,1.31,0.19,6070,,1.07,,,,,,,,
